,mean_value_obs,month,sd_value_obs,site,mean_value_sim,sd_value_sim
0,6.698725772512856,1.0,2.666277949378041,1.0,6.693563308855539,2.6577187994180123
1,6.756388297709085,1.0,2.7912138443706587,2.0,6.748591541469097,2.778637629636528
2,6.551434298532625,1.0,2.687446135451171,3.0,6.542566632967483,2.6728259973898645
3,9.064177493339796,1.0,3.5608428581571254,4.0,9.050754009532032,3.541387138017525
4,5.36475343822792,1.0,2.073932838785392,5.0,5.364028421987769,2.0681501013757306
5,5.029414270353573,1.0,2.0234937349746467,6.0,5.025709220728567,2.0114146494723784
6,4.9049916647454745,1.0,1.9429020120988427,7.0,4.8963881272000656,1.9289109768728447
7,4.928641950891864,1.0,1.925208191665207,8.0,4.91841097804231,1.909138211868081
8,7.001635578798137,1.0,2.781098203623136,9.0,6.994269493967615,2.7611190292960965
9,4.947345451257562,1.0,1.900963598512421,10.0,4.950647191632179,1.8935743138418475
10,6.904145204091585,1.0,2.7675667431191457,11.0,6.911040097175106,2.765726530506046
11,4.628035338911959,1.0,1.9704952257916508,12.0,4.6269895978589215,1.9654870630920578
12,4.544725832407193,1.0,1.7304742078233548,13.0,4.544992445004883,1.722548084370728
13,4.929262834579073,1.0,2.0200751301018967,14.0,4.926276703601883,2.0085339403679425
14,4.801161428052251,1.0,2.022436074238176,15.0,4.7962022905484325,2.00735503567456
15,4.3991362603120905,1.0,1.7080833902845651,16.0,4.39333637644014,1.6940772540190299
16,4.7170431651896045,1.0,1.8565493401593156,17.0,4.708602224907567,1.8381747435141906
17,4.624916690363679,1.0,1.827176115154143,18.0,4.617266198069818,1.8105162407094293
18,5.821073887296902,1.0,2.328012174763791,19.0,5.811857179555842,2.3189535146530385
19,4.193292855271088,1.0,1.65791834440763,20.0,4.197275725646685,1.6538625812176275
20,4.282472304551192,1.0,1.7358033648741467,21.0,4.280835486243489,1.7253463193894383
21,4.776163898424436,1.0,2.0044953615971863,22.0,4.77020067572145,1.9899522772334337
22,3.9227950860415737,1.0,1.6188351018641352,23.0,3.9160538431127225,1.6068468968838414
23,4.913244332725643,1.0,1.912046077849659,24.0,4.905817581228671,1.899883480592854
24,5.282107156595235,1.0,2.120775257886043,25.0,5.2769314752317245,2.106035769123213
25,4.587379492611014,1.0,1.724322243599649,26.0,4.584028480820117,1.7108269145288546
26,5.247604265584741,1.0,1.972532220182308,27.0,5.2417539779620785,1.9639101502179974
27,5.497831806700717,1.0,2.0097923045889314,28.0,5.5080050071138205,2.0034853223149516
28,3.6478813551766898,1.0,1.5285354841344236,29.0,3.6506635473268005,1.5220862873305712
