gauge,month,year,day,pr,wet_marker
1843002,1,1980,1,6.511604538075395,0
1843002,1,1980,2,6.618352153453681,0
1843002,1,1980,3,0.0,1
1843002,1,1980,4,3.6294189228616953,0
1843002,1,1980,5,0.0,1
1843002,1,1980,6,0.0,1
1843002,1,1980,7,0.0,1
1843002,1,1980,8,0.0,1
1843002,1,1980,9,0.0,1
1843002,1,1980,10,0.0,1
1843002,1,1980,11,9.92752823018052,0
1843002,1,1980,12,50.3848744585506,0
1843002,1,1980,13,24.765446767762157,0
1843002,1,1980,14,49.530893535524314,0
1843002,1,1980,15,37.361665382399806,0
1843002,1,1980,16,25.726175306166727,0
1843002,1,1980,17,8.753304461019383,0
1843002,1,1980,18,3.4159236921051255,0
1843002,1,1980,19,23.484475383222737,0
1843002,1,1980,20,0.0,1
1843002,1,1980,21,0.0,1
1843002,1,1980,22,0.0,1
1843002,1,1980,23,1.4944666152959922,1
1843002,1,1980,24,1.4944666152959922,1
1843002,1,1980,25,17.506608922038765,0
1843002,1,1980,26,3.202428461348555,0
1843002,1,1980,27,12.169228153124509,0
1843002,1,1980,28,21.45627069103532,0
1843002,1,1980,29,0.0,1
1843002,1,1980,30,13.02320907615079,0
1843002,1,1980,31,0.0,1
1843002,2,1980,1,0.11170293309815396,1
1843002,2,1980,2,4.691523190122466,0
1843002,2,1980,3,4.579820257024312,0
1843002,2,1980,4,6.031958387300314,0
1843002,2,1980,5,0.0,1
1843002,2,1980,6,0.0,1
1843002,2,1980,7,0.0,1
1843002,2,1980,8,0.0,1
1843002,2,1980,9,0.0,1
1843002,2,1980,10,11.505402109109859,0
1843002,2,1980,11,0.0,1
1843002,2,1980,12,0.0,1
1843002,2,1980,13,0.0,1
1843002,2,1980,14,18.09587516190094,0
1843002,2,1980,15,0.0,1
1843002,2,1980,16,0.11170293309815396,1
1843002,2,1980,17,14.521381302760014,0
1843002,2,1980,18,9.383046380244933,0
1843002,2,1980,19,105.00075711226472,0
1843002,2,1980,20,0.0,1
1843002,2,1980,21,0.0,1
1843002,2,1980,22,2.234058661963079,0
1843002,2,1980,23,2.457464528159387,0
1843002,2,1980,24,0.0,1
1843002,2,1980,25,0.0,1
1843002,2,1980,26,0.0,1
